model,score_test,score_val,run
RandomForest,-1.1314257383346558,-0.30222252011299133,naive
XGBoost,-1.7904657125473022,-0.10409855842590332,naive
WeightedEnsemble_L2,-1.8647476434707642,-0.07113546878099442,naive
LightGBM,-2.648236036300659,-0.08183355629444122,naive
RandomForest,-1.2866698503494263,-1.420780897140503,grouped
WeightedEnsemble_L2,-1.5392491817474365,-1.3062552213668823,grouped
LightGBM,-1.7849611043930054,-1.3841558694839478,grouped
XGBoost,-2.3185720443725586,-1.4941450357437134,grouped
