run,pretrain_seconds,final_loss_band,nanoTabPFN_breast_cancer_AUC,logreg_AUC,tutorial_claim,note
1,277,0.46-0.60 flat from ~65s,0.4470,0.9939,0.96,Colab T4 2026-09-23; 2500 steps batch 32 lr 4e-3; loss never trended down
2,281,0.45-0.62 flat (same shape as run 1),0.8970,0.9939,0.96,Colab T4 2026-09-23; identical code and cached prior dump; only difference is randomness
