model,score_test,score_val,fit_time_marginal,pred_time_test,section
SeasonalNaive,-1.2631655168497753,-0.6328891963049197,0.032434940338134766,1.1077241897583008,AU baselines
Average,-2.0489636654460326,-1.813258925382324,0.041834115982055664,1.1278009414672852,AU baselines
Naive,-2.4130314314950736,-2.201884722678209,0.03367209434509277,0.0179750919342041,AU baselines
RecursiveTabular,-0.7997157514816721,-0.4179721494552471,11.361698150634766,0.1429140567779541,AU ML+ensemble (82s)
WeightedEnsemble,-0.8096014852778555,-0.38579004182801435,0.07219941599760205,1.9330120086669922,AU ML+ensemble (82s)
PatchTST,-1.2274720871486697,-0.5334160597593489,49.09865093231201,0.014539003372192383,AU ML+ensemble (82s)
SeasonalNaive,-1.2631655168497753,-0.6328891963049197,0.035507917404174805,0.0178220272064209,AU ML+ensemble (82s)
ETS,-2.4129868770374325,-2.2034084579267352,0.03603386878967285,1.774914026260376,AU ML+ensemble (82s)
Chronos2,-0.6139203671909783,-0.34520433388046495,55.936267137527466,2.307196855545044,AU zero-shot FM (68s incl. download)
Toto2,-0.6967685892224635,-0.3384450696325674,10.24209213256836,0.8244621753692627,AU zero-shot FM (68s incl. download)
Chronos2ZeroShot,-0.6962392646918641,-0.8172031591562579,1.556816816329956,40.02070879936218,Bull Chronos-2 zero-shot vs LoRA fine-tune (483s)
